002583 海能达 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20150902	6.27	7.07	6.17	6.26	17556629	255574816.00
20150907	6.52	6.90	6.37	6.82	14310448	217060976.00
20150908	6.69	7.50	6.68	7.48	12977144	207133808.00
20150909	7.50	7.95	7.50	7.67	18510313	319951840.00
20150910	7.52	7.82	7.42	7.45	12292156	211313888.00
20150911	7.54	8.21	7.28	8.21	25695635	451648032.00
20150914	8.26	8.35	7.37	7.37	25044010	437647168.00
20150915	7.16	7.23	6.73	6.82	17906339	280252544.00
20150916	6.94	7.51	6.86	7.51	15730426	252197472.00
20150917	7.49	8.07	7.36	7.50	20443464	355863840.00
20150918	7.68	8.13	7.68	8.02	20795777	368973664.00
20150921	7.82	8.32	7.72	8.28	18713130	338033664.00
20150922	8.17	8.42	8.02	8.07	14781902	270294048.00
20150923	7.94	8.54	7.87	8.36	19237788	356553120.00
20150924	8.60	8.75	8.36	8.68	20310437	388508416.00
20150925	8.63	8.63	7.94	7.99	19110025	352608640.00
20150928	8.05	8.80	8.04	8.80	15826951	297431360.00
20150929	8.66	8.93	8.36	8.36	16709958	323426560.00
20150930	8.29	8.83	7.86	8.03	31889656	273659456.00
20151008	8.31	8.85	8.04	8.85	51486776	449237184.00
20151009	8.86	9.16	8.67	8.86	51107263	462334720.00
20151012	8.91	9.67	8.91	9.18	56089372	524860896.00
20151013	9.15	9.20	8.95	9.16	33770632	310472704.00
20151014	9.23	9.29	8.76	8.79	40730739	370624672.00
20151015	8.68	9.47	8.66	9.29	41260433	378946624.00
20151016	9.36	9.58	9.04	9.29	39311122	371287392.00
20151019	9.36	9.67	9.06	9.47	44142348	416446144.00
20151020	9.36	10.24	9.31	9.92	60905261	605845120.00
20151021	9.86	9.95	8.91	8.94	60121825	576145088.00
20151022	8.96	9.36	8.79	9.33	33380540	309257760.00
20151023	9.90	10.28	9.90	10.28	48281002	498374688.00
20151026	10.76	10.95	9.91	10.16	87186221	917413248.00
20151027	10.02	10.88	9.71	10.80	64787639	676181056.00
20151028	10.57	11.01	10.31	10.47	49050432	529376832.00
20151029	10.47	10.75	10.36	10.54	30425709	325331552.00
20151030	10.46	10.84	10.15	10.55	39023727	415638432.00
20151102	10.16	10.65	10.05	10.10	37093565	386725984.00
20151103	10.21	10.44	10.06	10.18	22939057	237874976.00
20151104	10.33	10.77	10.21	10.72	32829333	349941152.00
20151105	10.70	10.81	10.38	10.46	35282285	377924544.00
20151106	10.16	10.73	10.16	10.55	30183980	322683296.00
20151109	10.39	10.97	10.08	10.92	48487355	516636352.00
20151110	10.76	11.14	10.67	10.82	40531899	447387872.00
20151111	10.67	10.83	10.56	10.73	30598124	331279136.00
20151112	11.06	11.35	10.92	11.09	42046854	473323136.00
20151113	11.13	12.05	11.03	11.64	60359656	712982080.00
20151116	11.86	12.74	11.66	12.34	59285156	733315392.00
20151117	12.35	13.20	12.07	12.96	68819219	869615104.00
20151118	12.96	12.96	12.17	12.27	42884123	546726080.00
20151119	12.25	12.56	12.04	12.51	31987628	399224992.00
20151120	12.66	13.19	12.51	12.91	41128003	535056096.00
20151123	12.99	13.11	12.34	12.47	38761381	494546208.00
20151124	12.38	12.43	11.92	12.25	31336660	384813920.00
20151125	12.27	12.75	12.27	12.56	26885654	340490592.00
20151126	12.56	12.71	12.11	12.19	27206255	338657408.00
20151127	12.20	12.41	11.07	11.25	34620379	413203968.00
20151130	11.11	11.46	10.24	11.04	40466737	445178560.00
20151201	11.01	11.26	10.75	11.04	22532376	251817856.00
20151202	11.05	11.18	10.72	11.05	19125446	211174768.00
20151203	11.16	11.54	11.14	11.52	21331499	245529328.00
20151204	11.56	11.66	11.21	11.27	20352679	235527584.00
20151207	11.32	11.41	11.07	11.26	13838680	157619408.00
20151208	11.26	11.26	10.76	10.86	19456311	215577840.00
20151209	10.83	11.01	10.54	10.59	18041417	196030384.00
20151210	10.57	11.22	10.54	10.97	23452027	258384576.00
20151211	10.86	11.11	10.77	10.86	12328508	136610192.00
20151214	10.63	11.14	10.57	11.12	16653412	183048064.00
20151215	11.76	12.25	11.69	12.25	16015784	196892592.00
20151216	12.36	13.06	12.26	12.49	72191669	923455552.00
20151217	12.41	12.96	12.27	12.83	58524568	752145536.00
20151218	12.66	12.90	12.36	12.44	37737574	478993472.00
20151221	12.45	12.60	12.11	12.25	25956932	322475520.00
20151222	12.31	12.65	12.26	12.58	26159986	329775968.00
20151223	12.46	12.58	12.07	12.11	22225848	276005600.00
20151224	12.06	12.06	11.66	11.96	18709672	223796624.00
20151225	11.98	12.34	11.89	12.17	16427669	202001200.00
20151228	12.33	12.37	11.73	11.78	19686467	239009200.00
20151229	11.77	12.11	11.70	12.11	17763273	214302640.00
20151230	12.17	12.45	12.06	12.38	22803084	283197856.00
20151231	12.39	12.51	11.99	12.35	22383465	277881664.00
20160104	12.47	12.55	11.10	11.11	18559029	222006432.00
20160105	10.41	11.16	10.12	10.73	30053272	327824512.00
20160106	10.86	10.99	10.63	10.93	17501309	192163456.00
20160107	10.63	10.71	9.82	9.82	5698180	58595836.00
20160108	10.14	10.25	9.26	9.85	20586145	207442528.00
20160111	9.76	9.76	8.85	8.85	23669523	221443008.00
20160112	8.95	9.08	8.46	8.88	20249002	181582352.00
20160113	8.93	9.36	8.60	8.63	22539082	206583136.00
20160114	8.37	9.50	8.24	9.43	33108835	304298272.00
20160115	9.37	9.64	9.08	9.26	23095836	220029264.00
20160118	8.90	9.73	8.90	9.56	17698907	169556352.00
20160119	9.56	10.01	9.47	10.00	19187064	188978800.00
20160120	9.86	10.06	9.64	9.85	18221725	181721968.00
20160121	9.69	9.81	9.31	9.31	16787612	163676560.00
20160122	9.41	9.56	9.11	9.40	10910982	103488448.00
20160125	9.64	10.01	9.48	9.86	21338285	212253312.00
20160126	9.70	9.75	8.91	8.96	19327422	184175648.00
20160127	8.97	9.13	8.36	8.83	17832111	157920512.00
20160128	8.66	8.93	8.41	8.52	12611921	111273368.00
20160129	8.48	8.99	8.48	8.93	12533024	112247872.00
20160201	8.86	9.19	8.86	9.06	13195421	120976008.00
20160202	9.06	9.57	9.01	9.41	14176910	134850496.00
20160203	9.33	9.42	9.07	9.37	14592141	136746160.00
20160204	9.44	9.79	9.44	9.56	14706244	143605904.00
20160205	9.66	9.84	9.56	9.59	14089753	138852224.00
