date,open,high,low,close,volume,amount,pct_chg
2011-05-27,3.0,3.45,2.85,3.01,159854,289875530.61,-12.5
2011-05-30,2.86,2.86,2.69,2.69,76177,122695699.25,-10.63
2011-05-31,2.62,2.72,2.59,2.67,39420,61509439.04,-0.74
2011-06-01,2.68,2.77,2.64,2.74,35465,56876849.35,2.62
2011-06-02,2.69,2.74,2.62,2.66,30295,47403554.48,-2.92
2011-06-03,2.65,2.73,2.64,2.69,20812,32949987.86,1.13
2011-06-07,2.69,2.75,2.65,2.74,21854,35007796.43,1.86
2011-06-08,2.71,2.72,2.66,2.7,17945,28325656.7,-1.46
2011-06-09,2.72,2.72,2.59,2.59,18596,28829457.38,-4.07
2011-06-10,2.59,2.66,2.59,2.65,13510,20889274.35,2.32
2011-06-13,2.64,2.76,2.63,2.75,29378,46833883.54,3.77
2011-06-14,2.74,2.82,2.71,2.8,25985,42543330.36,1.82
2011-06-15,2.78,3.1,2.78,3.1,93310,165773434.24,10.71
2011-06-16,3.08,3.15,3.04,3.12,68995,124948215.94,0.65
2011-06-17,3.07,3.31,3.06,3.12,50932,93782692.55,0.0
2011-06-20,3.04,3.3,2.91,3.16,41625,76182014.16,1.28
2011-06-21,3.15,3.31,3.11,3.3,39296,74116266.89,4.43
2011-06-22,3.31,3.31,3.13,3.24,29297,54568412.04,-1.82
2011-06-23,3.18,3.29,3.14,3.25,25500,47947544.08,0.31
2011-06-24,3.25,3.39,3.23,3.26,38944,74520073.25,0.31
2011-06-27,3.24,3.34,3.18,3.33,33534,63713499.94,2.15
2011-06-28,3.33,3.34,3.22,3.26,23962,45323585.04,-2.1
2011-06-29,3.24,3.26,3.16,3.17,24996,46451401.62,-2.76
2011-06-30,3.11,3.22,3.11,3.19,20935,38694355.86,0.63
2011-07-04,3.19,3.29,3.14,3.26,18648,35087976.11,2.19
2011-07-05,3.24,3.32,3.2,3.31,19487,36903745.76,1.53
2011-07-06,3.29,3.45,3.28,3.44,50400,99485484.72,3.93
2011-07-07,3.42,3.64,3.41,3.62,107803,220353121.84,5.23
2011-07-08,3.58,3.72,3.48,3.55,50470,104850477.34,-1.93
2011-07-11,3.54,3.63,3.51,3.58,40979,85091215.51,0.85
2011-07-12,3.52,3.62,3.48,3.53,28340,58434664.56,-1.4
2011-07-13,3.52,3.69,3.51,3.61,32511,67787459.11,2.27
2011-07-14,3.66,3.66,3.54,3.57,20447,42410231.91,-1.11
2011-07-15,3.58,3.91,3.57,3.89,70933,154855515.2,8.96
2011-07-18,3.89,3.94,3.83,3.92,39898,89529646.14,0.77
2011-07-19,3.9,3.9,3.76,3.8,32483,71385356.52,-3.06
2011-07-20,3.8,3.85,3.69,3.72,21957,47406880.77,-2.11
2011-07-21,3.69,3.8,3.65,3.72,17136,36894267.8,0.0
2011-07-22,3.71,3.96,3.7,3.87,39789,88482899.85,4.03
2011-07-25,3.9,3.91,3.7,3.7,25993,56754043.59,-4.39
2011-07-26,3.72,3.77,3.6,3.66,21238,44758139.49,-1.08
2011-07-27,3.65,3.99,3.62,3.94,43885,98343006.84,7.65
2011-07-28,3.85,4.07,3.85,3.98,43581,99935795.5,1.02
2011-07-29,3.98,4.22,3.94,4.2,55094,130550687.89,5.53
2011-08-01,4.15,4.3,4.09,4.27,32697,78815601.08,1.67
2011-08-02,4.22,4.39,4.11,4.33,37874,91330831.94,1.41
2011-08-03,4.27,4.39,4.2,4.32,26380,65040084.37,-0.23
2011-08-04,4.32,4.4,4.18,4.22,26122,64045183.94,-2.31
2011-08-05,4.04,4.47,4.0,4.32,23439,58007124.54,2.37
2011-08-08,4.24,4.42,3.88,4.31,30104,73944443.61,-0.23
2011-08-09,4.17,4.71,4.07,4.54,52166,134440477.69,5.34
2011-08-10,4.59,4.83,4.48,4.51,42115,111963868.87,-0.66
